id,date,stock_id,stock_name,title,content,poswc,negwc,wc,poswc_baeir,negwc_baeir
32090,2016-08-26,2303,聯電,致力集成電路發展 廈門打造千億產業鏈,"廈門市日前制定了集成電路產業發展規劃綱要，擬發揮毗鄰台灣的區位優勢，加強與台灣集成電路產業的融合發展，形成區域性的集成電路產業集聚地，打造集成電路千億產業鏈。
新華社報導，集成電路產業被稱為信息技術產業的「糧食」。在促進產業轉型升級的大背景下，廈門選擇把集成電路產業作為新的支柱產業來培育，加速孕育經濟發展新動能。
廈門火炬高新區是該市集成電路產業的主要承接地。高新區管委會副主任謝松指出，目前廈門正加快建設46平方公里高新技術產業基地，並設立500億元（人民幣，下同）規模的產業發展基金，協助集成電路產業發展。台灣集成電路產業相當發達，其晶圓代工、封裝測試和設計業在全球範圍內均名列前茅。廈門要發展集成電路產業，應當向台灣學習，走融合發展道路。
「廈門市集成電路產業發展規劃綱要」提出，要深化與台灣集成電路產業的合作，吸引台灣優秀集成電路人才到廈門發展。鼓勵台企入駐廈門建立設計中心、製造工廠、封測基地等，在土地租賃、配套服務等方面享有更為優惠的扶持政策。對來廈門發展的具有一定技術實力和國際影響力的台灣集成電路企業進行重點扶持。
目前廈門集成電路產業已聚集各類企業60多家，形成了相對完整的產業鏈。已布局的重大項目包括：與台灣集成電路巨頭聯華電子合資設立的聯芯項目總投資達62億美元，預計今年12月正式投產；三安集成電路有限公司總投資30億元，主攻方向是研發、生產化合物半導體晶片；紫光集團投資40億元設立紫光展銳產業園、研發中心項目，著眼於台灣人才引進。
集成電路企業原子通公司總裁唐小樹指出，公司與台灣定穎電子合作成立研發分部，可設計生產內存模組使用的多層印製電路板，並擁有相關專利。公司來到廈門，看中的是廈門良好的產業發展環境以及與台灣近在咫尺的天然區位優勢。廈門擁有毗鄰台灣的區位優勢、良好的人文環境以及與台灣相近的生活習俗，使其成為對台灣民眾最有吸引力的大陸城市之一。
目前常住廈門的台灣人有12萬人。國家科技重大專項領導小組辦公室諮詢委員會主任馬俊如認為，廈門發展集成電路產業有極大的優勢，特別是台灣半導體產業多年來走在世界前列，廈門又是兩岸經貿交流合作的「橋頭堡」，可對接台灣這方面的資源。
台灣清華大學原校長、台灣集邦科技股份有限公司董事長劉炯朗說，作為台灣聯電的董事以及集邦科技的負責人，他希望聯電在廈投資建設的12吋晶圓項目帶動廈門集成電路上下游企業的發展，也希望有更多台灣企業與廈門企業攜手共進。
【2016-08-26/聯合報/B1版/兩岸台商】",47,0,579,73,0
32089,2016-08-09,2303,聯電,智原攜手聯電 推SerDes PHY,"聯華電子（UMC，TWSE：2303）與ASIC設計服務暨IP研發銷售廠商智原科技（Faraday，TWSE：3035）8月3日共同發表智原科技於聯電28奈米HPCU製程的可編程12.5Gbps SerDes PHY IP方案。此次智原成功推出的SerDes PHY，為聯電28奈米High-K/Metal Gate後閘極技術製程平台中一系列高速I/O解決方案的第一步。
藉由採用涵蓋1.25Gbps到12.5Gbps的可編程架構技術，此SerDes PHY能夠輕易支援10G/1G xPON被動光纖網路通訊設備。結合不同的PCS物裡編碼子層電路，便可以支援SGMII、XAUI、QSGMII、USB3.1、PCIe 3.0、NVM Express、SATA 3等介面標準。透過智原SerDes PHY的高度整合彈性，客戶能夠在28 HPCU平台縮短SoC設計周期，且滿足從商用等級高效能配備到穿戴裝置低功耗的應用需求。
智原科技營運長林世欽表示，隨著高階製程的演進，系統單晶片（SoC）的整合複雜度不斷地提升，為支援低功耗的各種高速介面傳輸標準，高速SerDes元件成為影響SoC系統效能的關鍵電路設計技術。28奈米High-K/Metal Gate製程為主流的先進製程技術，聯電28 HPCU展現其技術卓越的效能表現。包含此次發表的12.5G SerDes，智原有信心能結合聯電28 HPCU製程的優勢，為客戶帶來更多高性價比的高速I/O解決方案。
聯電矽智財研發暨設計支援處資深副總經理簡山傑亦表示，很高興將智原的可編程SerDes IP納入28 HPCU平台資源，幫助客戶擴展更高階的產品市場，期望與智原持續併肩合作，研發更多具發展潛力的SerDes解決方案。
（楊連基）
【2016-08-09/經濟日報/A19版/光電半導體】",21,1,401,40,2
32088,2016-07-29,2303,聯電,挺半導體 廈門銀團貸款10億美元,"大陸國家開發銀行廈門分行28日牽頭廈門7家銀行組成銀行團，與全球積體電路巨頭、台灣第二大半導體晶圓製造商—台灣聯華電子旗下聯芯積體電路製造（廈門）有限公司，簽署貸款合同，提供10億美元貸款，支持其積體電路製造。
中新社報導，聯芯積體電路生產項目（一期）銀行團貸款簽約儀式28日在廈門舉行。由大陸國家開發銀行廈門分行牽頭、中國農業銀行廈門分行、中國建設銀行廈門分行、中國工商銀行廈門分行、中國銀行廈門分行、交通銀行廈門分行、中國進出口銀行廈門分行組成的銀行團，與聯芯積體電路製造（廈門）有限公司正式簽署貸款合同，7家貸款銀行將在未來兩年內提供10億美元固定資產貸款，支持聯芯積體電路生產（一期）的建設及運營。
國開行廈門分行表示，該行圍繞總行賦予的「開展對台合作業務和參與兩岸區域性金融服務中心建設」的「兩個窗口」職能定位，支持台資企業到大陸投資。該行充分發揮開發性金融引領作用，為該項目牽頭組建銀團，銀團貸款份額最大。
貸款項目預計將於2018年實現量產，投產後晶圓加工量將達每月2.5萬片，對廈門市打造電子資訊千億元產業鏈、提升大陸半導體製造和技術水準、深化兩岸半導體產業合作均具重要意義。
報導指出，在福建省政府牽頭下，台灣聯華電子於2014年10月與廈門市政府及福建省電子信息集團簽訂投資協議書，決定在廈門合資成立聯芯積體電路製造（廈門）有限公司，投資建設聯芯積體電路生產項目（一期），這也是台資到大陸投資的首條12英吋晶圓生產線。
國開行廈門分行表示，下一步將發揮「投、貸、債、租、證」的綜合金融服務優勢，運用各類開發性金融政策工具，推進積體電路產業園建設，助廈門市打造「5＋3＋10」的現代產業體系。
【2016-07-29/聯合報/B1版/兩岸．台商】",20,0,405,33,0
27599,2015-09-30,2006,東和鋼鐵,中鋼9月出貨77萬噸 優於預期,"【記者林憲祥／高雄報導】

強颱「杜鵑」昨(29)日遠離台灣，南台灣的鋼鐵業包括中鋼、燁 聯等多家大廠都沒有傳出淹水災情，逃過一劫。且中鋼昨日鋼品出貨 維持正常作業，估計9月份含旗下子公司中鋼熱軋出貨量，可望達到 106萬公噸，其中中鋼本身接近77萬公噸，雙雙優於預期。

受到「杜鵑」颱風橫掃中北部，帶來豐沛雨量影響，昨日中北部都 大放颱風假，導致鋼筋大廠豐興、東鋼等鋼廠，除了現場維持輪班制 度，但因配合夏日限電措施，只維持夜間離峰時段的7成產量，且暫 停鋼品出貨外，其它行政部門人員都跟著放颱風假，

至於南台灣的鋼鐵業包括中鋼、中鴻、盛餘、海光、燁聯、燁輝、 唐榮、春雨、聚亨等多家鋼廠，則配合高雄市政府的政策，維持正常 上、下班，因此各鋼廠生產都維持正常作業，包括鋼品出貨也都維持 正常，所幸昨日中午後，隨著颱風遠離，並沒有傳出淹水的災情。

其中，中鋼表示，該公司昨日鋼品出貨維持正常，且本月份出貨量 也都優於預期，其中中鋼單月各項鋼品出貨量，可望達到近77萬公噸 ，優於規畫目標的73.7萬公噸，且中龍鋼鐵的熱軋出貨量也可達到近 29萬公噸，亦優於規劃目標，合計單月出貨量可望達到106萬公噸左 右，優於規畫目標104.5萬公噸。",15,6,331,21,8
66331,2015-09-30,2498,宏達電,拉高CP值 M9+硬少同階手機3000元 終止機海戰術 拉長產品周期 董俊良：高階機價格甜蜜點在1萬9900元,"【翁毓嵐／東京報導】

面對蘋果iPhone 6s、6s Plus開賣在即，非蘋陣營近2個月來可說 是精銳新機盡出；宏達電(HTC)昨一口氣推出2款高階旗艦，包括相 機規格升級版的HTC One M9+(極光版)，及與日本電信商合作的經 典機款HTC Butterfly 3，除要和iPhone正面對戰，也首度將高性價 比的價格戰，拉到高階機戰場，力拚返回高階2成市占寶座。

衝刺在台灣高端機市場返回15％～20％高市占比，HTC昨發表加量 升級版的M9+極光版及Butterfly 3，分別主打高畫素、光學防手震、 極速對焦，同時支援4K錄影的高規格相機鏡頭，與IP5X防塵、IPX7防 水等功能外，更端出分別2萬900元及1萬9900元的價格，和非蘋陣營 新機較勁、正面對戰iPhone。

宏達電北亞區總經理董俊良表示，HTC選擇和iPhone 6s、6s Plus 在台開賣時上市，希望開戰之際「不缺席」外，另一重要考量，是希 望在電信業者調降對高階機補貼的同時，給予消費者相對優惠價格的 產品選項，找回並擴大HTC的用戶，也進一步增加電信業者的高資費 用戶數。

預期未來高階機在規格戰上差異化愈趨縮小，董俊良以M9+極光版 及Butterfly 3的上市價格估算，以同樣電信資費的購機價上，最多 能有高達3000元的價差；他並預估，未來智慧型手機價格帶往金字塔 走的趨勢不變，但目前高端價格帶的甜蜜點，就落在1萬9900元。

董俊良直言，現階段HTC沒有和蘋果打高端價格戰的條件，「把曾 考量使用HTC的用戶找回來，並留住高端用戶」，是HTC必經過程，也 是必須要做的。

宏達電今年年中在調降財測、積極進行組織結構再造，及撙節營運 成本等轉型之際，也重新定位未來戰略；董俊良表示，第四季HTC會 有清楚、完整的產品線規畫，並透過更好的產品體驗，拉長產品生命 周期，這會比機海戰術來得有效。

展望第四季，董俊良預期台灣市場的銷售總量和銷售額，在雙旗艦 機加入戰場後，將挹注營業額會有1到2成的明顯增長，有助穩定HTC 在萬元機款價格帶，搶食40％左右市占率；董俊良更深具信心預告， 「好戲還在後頭」。",17,8,560,40,8
32086,2015-09-30,2303,聯電,積極轉型創新 推智慧醫院優化方案、遠距照護解決方案 提高獲利、造福社會 精聯電子 攻智慧健康照護商機,"台灣有機會成為亞洲智慧健康照護方案的成功典範，精聯電子將持續投注資源！該公司執行長陳榮輝說，台灣是全球老年化最嚴重區域，相關機構預估2025年，65歲人口超過台灣人口的20%，因此在物聯網為主幹，以ICT應用交織出的智慧健康照護方案有效紓解老年社會所需投入的社會成本。
陳榮輝說，鑒於台灣健保制度為國際指標，新版長照法近年更為各方注目的焦點，利多下有助智慧健康照護市場發展。
精聯電子近年積極轉型，以原有手持醫療電子裝置業務，一路拓展至智慧醫院優化方案及遠距照護方解決方案，兩方案在台灣更看到成績，從高醫到馬偕都是合作夥伴外，遠距照護解決方案因具高附加價值、高吸引力，讓老年人以可負擔的範圍，選擇所需的服務，這對當前財務吃緊的醫療院所，能以精聯電子提供的平台，強化競爭力以提高營運績效。精聯電子的遠距照護解決方案是一個雲端平台，可以一台專屬平板裝置，整合前端感測生理設備如血壓計、血糖等，還能與後端醫療諮詢、居家照顧服務等，更提供緊急求救等應用，受照顧者能在家完全掌控醫療院所提供的個人健康資訊。此外，對醫療院所能以精聯電子的智慧醫院優化方案及遠距照護解決方案打造絕佳的營運模式。精聯電子不貪心，只專注在智慧醫院優化方案及遠距照護解決方案，目前智慧醫院優化方案除不少台灣醫療院所已導入外，對岸廈門、銀川等地的醫療單位也與精聯電子合作。
針對遠距照護解決方案的布局，陳榮輝說，台灣是最好的發展區域，精聯電子已和不少村里、社區合作，以試辦點的模式，讓老年人體驗遠距照護的便利性，同時精聯電子持續投注創新思維，打造台灣「遠端智慧照護」典範企業，更期許成為「能獲利、能造福」的社會企業。
【2015-09-30/經濟日報/D4版/物聯網新訊】",48,7,458,74,8
58807,2015-09-30,2412,中華電,M9+極光版 主打光學防手震 Butterfly 3 相機2020萬畫素,"迎戰蘋果，宏達電選在日本發表最新經典雙旗艦HTC One M9+（與Butterfly 3蝴蝶機。
HTC One M9+今年5月推出後獲極大迴響，昨天推出的「極光版」，金屬外型，配備全面進化2,100萬畫素光學防手震、極速對焦的主相機，加入雷射對焦偵測器，可快速估算物件的距離，精準控制快門速度與準度。
Butterfly 3蝴蝶機配備2020萬畫素主相機與1300萬畫素前置相機，支援4K錄影，同時延續HTC Duo景深相機，支援IPX7的防水、防塵。
HTC One M9+極光版推出金鑽銀與靚絲灰2色，售價2.09萬元，將於10月5日於全台HTC專賣店上市。
Butterfly 3蝴蝶機提供青瓷白、胭脂紅與午夜藍3色，售價1.99萬元，10月20日起在全台hTC專賣店首賣全色系1周，11月1日起由中華電獨家開賣全色系，台灣大、遠傳、台灣之星及亞太電門市全面開賣胭脂紅與午夜藍。
【2015-09-30/聯合報/AA1版/財經】",5,0,255,15,0
100189,2015-09-30,6605,帝寶,轉向利多 汽車零組件齊飆,"國內的汽車零組件仍是今天盤面人氣焦點，Tesla概念股的和大（1536)、F-貿聯（3665）今天盤中漲幅都達3%；胎壓偵測系統（TPMS）相關的F-六暉（2115）、同致（3552）股價漲幅一度達5.67%~7.88%；其餘的零組件廠大億（1521）、東陽（1319）、帝寶（6605），今天股價也都表現出色。
福斯汽車(Volkswagen)爆發柴油車數據造假風波後，市場認為，未來消費者會開始將目光轉向純電動車，隨著美國電動車大廠Tesla不斷推出新車，國內的相關供應鏈也跟著受惠，Tesla的新車於29日交出首部電動休旅車Model X，吸引外界目光，也讓國內的相關供應鏈股價大漲。
除了新車被市場看好外，Tesla已經開始因應歐洲市場的需求增加產能打算，荷蘭Tesla歐洲工廠的第二條生產線正式啟用，產能由每周可達225輛，擴充後的周產量將提高到每周可產出450輛；受惠於Tesla議題發酵，和大、F-貿聯今天股價走強，和大盤中一度來到104.5元，漲幅近3%；F-貿聯股價來到143元，盤中漲幅達3.2%，供應扣鍵的世德（2066）今天盤中股價也小漲，一度來到99元。
TPMS供應鏈則是受惠於中國政策，市場傳出，中國大陸將成為繼美國、歐盟、南韓和台灣之後，全球第5個要求新車必須安裝TPMS的國家，這對台灣電子零件產業是一大商機，今天供應成車市場的TPMS大廠同致、F-六暉股價都出現大漲；其中，同致股價一度來到226元，漲幅達7.88%，F-六暉今天盤中股價則站上41元，漲幅達5.67%。
其他的零組件供應商，東陽、帝寶及堤維西受惠於第4季旺季即將到來，由於就目前市場客戶尋單情況，推估第4季旺季可期，台幣貶值效益才剛開始顯現，東陽是北美最大的塑膠汽車零組件AM供應商，帝寶及堤維西也是最大的車燈供應商，再加上反拖拉斯案件都已告一段落，今年第4季旺季表現可期。
【2015-09-30/聯合晚報/B2版/市場焦點】",6,6,466,31,6
38230,2015-09-30,2317,鴻海,發行新股、結盟鴻海是陰謀？ 日月光：矽品要長期把持董事會,"【邱琮皓、吳泓勳／台北報導】

日月光公開收購對手矽品25％股權後，呼籲矽品股東對鴻海、矽品 換股結盟案投下反對票，在列出5項反對理由後，昨再發聲明，質疑 矽品會二度發行新股予特定人、再次稀釋股東權益之外，更直指矽品 意圖長期把持董事會。

對此，矽品發言人江百宏表示，提案中將核定資本額從36億股增加 至50億股，用途除了要與鴻海交換新股之外，也預留額度供2019年到 期的美金4億元可轉債用，並預留足夠額度以因應未來的營運與資金 需求；目前除了與鴻海的換股案外，無其他立即發行新股計畫。江百 宏強調，矽品會嚴守《公司法》與《證交法》相關規定。

法人指出，日月光的態度很明確，就是不希望股權被稀釋，不管是 鴻海、或是未來的其他特定大股東；另一方面，鴻海與矽品換股成功 之後，日月光的持股比例將低於20％，很有可能啟動二次公開收購， 屆時矽品就有足夠的額度來進行「毒藥丸策略」、再次降低日月光的 持股比例，預估有可能降至15.58％。

日月光表示，如為了與鴻海交換新股，增資到42億股已足夠，質疑 矽品增資至50億股的用途。日月光更補上疑問，請矽品董事會可否能 白紙黑字向全體股東具體承諾，未來若再發行新股予特定人時，提請 股東會決議？

日月光認為，如果額外授權這8億股的額度，將會增加矽品董事會 日後繼續鞏固經營權的籌碼、將長期把持矽品董事會。按比例計算， 如果鴻海完成增資之後、矽品再發行8億股給予特定人，加計矽品公 司派與鴻海等結盟夥伴持股合計接近47.02％。日月光認為這比例失 衡，將嚴重影響矽品股東會對董事會的監督制衡能力。",16,9,416,26,11
72788,2015-09-30,2618,長榮航,全球十大最佳航空 華航第二 長榮第三,"國際航空設計評鑑TheDesignAir日前公布「二?一五旅客首選十大最佳航空」，華航以七七七｜三百型新機的「新世代計畫」東方美學讓評審團驚豔，勇奪第二名殊榮；長榮則以Hello Kitty彩繪機和擁有相對優惠價格的菁英艙受到青睞，獲得第三名。
TheDesignAir二?一二年在美國創立，評論聚焦航空客艙設計與整體品牌，為國際航空產業設計美學的新興指標。
今年TheDesignAir首度舉辦「二?一五旅客首選十大最佳航空」評選，評審團由航空業界專家、飛行常客、產業分析師等組成，以產業美學觀點，評核商務艙、彩繪機等設計，最後由乘客投票選出全球十大最佳航空公司。第一名由國泰航空拿下，第二、三名則由華航、長榮囊括；第四名為新加坡航空，第五名為夏威夷航空。
評審團認為，華航去年十月推出新世代計畫，從嶄新的客艙設計、座椅設備、影視娛樂系統、機上美食、客艙用品及新制服，到機場貴賓室都讓人驚艷。華航表示，華航七七七新世代客機曾獲波音公司總裁兼首席執行長雷．康納（Ray Conner）盛讚為「最漂亮的七七七設計之一」，也曾獲全球設計界最頂尖的「德國紅點設計大獎」、全球華人最高榮譽的「金點設計大獎」。
長榮Hello Kitty彩繪機形象也深植人心。評審團指出，長榮以亞洲最知名的卡通人物作為機體外表和內部裝潢聞名，加上擁有傑出、國際等級的品質和航線，菁英艙的良好服務讓人覺得價格相對優惠。
長榮表示，Hello Kitty彩繪機受到許多國內外旅客的喜愛，從外觀到內裝都帶給旅客驚喜，讓飛機不再只是交通工具，而是快樂的製造者，長榮航空希望能繼續提供旅客更開心舒適的服務。
【2015-09-30/聯合報/A6版/生活】",21,1,390,36,3
